aluguel,condominio,endereco,id,imobiliaria,iptu,link,metragem,num_quartos,num_vagas_garagem,pagina,titulo_anuncio
   R$ 1.600, R$ 412 ,"Rua Procópio Manoel Pires - Trindade, Florianópolis - SC",2493249879,, R$ 63 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-trindade-bairros-florianopolis-com-garagem-63m2-aluguel-RS1600-id-2493249879/,63,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 63 m² por R$ 1.600/Mês  "
   R$ 1.200, Não informado ,"Servidão do Palmeiras, 165 - Itacorubi, Florianópolis - SC",2490117180,,,https://www.vivareal.com.br/imovel/apartamento-1-quartos-itacorubi-bairros-florianopolis-20m2-aluguel-RS1200-id-2490117180/?__vt=lgpd:b,20,1,,Vivareal,"  Apartamento com 1 Quarto para Alugar, 20 m² por R$ 1.200/Mês  "
   R$ 2.800, R$ 412 ,"Rua Lauro Linhares, 1600 - Trindade, Florianópolis - SC",2494074673,, R$ 117 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-trindade-bairros-florianopolis-com-garagem-72m2-aluguel-RS2800-id-2494074673/?__vt=lgpd:b,72,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 72 m² por R$ 2.800/Mês  "
   R$ 14.000, R$ 4.128 ,"Rodovia José Carlos Daux, 5500 - Saco Grande, Florianópolis - SC",2494001507,, R$ 1.200 ,https://www.vivareal.com.br/imovel/sala-comercial-saco-grande-bairros-florianopolis-com-garagem-320m2-aluguel-RS14000-id-2494001507/?__vt=lgpd:b,320,,8,Vivareal,"  Sala Comercial para Alugar, 320 m² por R$ 14.000/Mês  "
   R$ 900, Não informado ,"Servidão Novo Horizonte - Vargem do Bom Jesus, Florianópolis - SC",2484503902,,,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vargem-do-bom-jesus-bairros-florianopolis-30m2-aluguel-RS900-id-2484503902/?__vt=lgpd:b,30,1,,Vivareal,"  Apartamento com 1 Quarto para Alugar, 30 m² por R$ 900/Mês  "
   R$ 2.000, R$ 250 ,"Rua Dante de Patta, 577 - Ingleses do Rio Vermelho, Florianópolis - SC",2491598636,, R$ 130 ,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-95m2-aluguel-RS2000-id-2491598636/?__vt=lgpd:b,95,3,1,Vivareal,"  Apartamento com 3 Quartos para Alugar, 95 m² por R$ 2.000/Mês  "
   R$ 2.200, R$ 572 ,"Rodovia Amaro Antônio Vieira - Itacorubi, Florianópolis - SC",2493248996,, R$ 68 ,https://www.vivareal.com.br/imovel/apartamento-3-quartos-itacorubi-bairros-florianopolis-com-garagem-74m2-aluguel-RS2200-id-2493248996/?__vt=lgpd:b,74,3,1,Vivareal,"  Apartamento com 3 Quartos para Alugar, 74 m² por R$ 2.200/Mês  "
   R$ 1.800, R$ 330 ,"Rua Crispim Mira, 405 - Centro, Florianópolis - SC",2487789777,, R$ 2.400 ,https://www.vivareal.com.br/imovel/ponto-comercial-centro-bairros-florianopolis-com-garagem-43m2-aluguel-RS1800-id-2487789777/?__vt=lgpd:b,43,,1,Vivareal,"  Ponto Comercial para Alugar, 43 m² por R$ 1.800/Mês  "
   R$ 1.000, R$ 250 ,"Rua Santa Luzia - Trindade, Florianópolis - SC",2495465000,, R$ 500 ,https://www.vivareal.com.br/imovel/sala-comercial-trindade-bairros-florianopolis-com-garagem-28m2-aluguel-RS1000-id-2495465000/?__vt=lgpd:b,28,,1,Vivareal,"  Sala Comercial para Alugar, 28 m² por R$ 1.000/Mês  "
   R$ 1.700, R$ 560 ,"Avenida Madre Benvenuta, 411 - Trindade, Florianópolis - SC",2487454745,, R$ 132 ,https://www.vivareal.com.br/imovel/apartamento-3-quartos-trindade-bairros-florianopolis-com-garagem-85m2-aluguel-RS1700-id-2487454745/?__vt=lgpd:b,85,3,1,Vivareal,"  Apartamento com 3 Quartos para Alugar, 85 m² por R$ 1.700/Mês  "
